S No.,name,genre,type,episodes,rating,Anime_Archetype
588,Detective Conan OVA 10: Kid in Trap Island,"Adventure, Comedy, Mystery, Police, Shounen",OVA,1,7.95,Obliviscaris Spire
589,Dragon Ball Kai,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,97,7.95,Obliviscaris Spire
590,Hetalia World Series,"Comedy, Historical, Parody",ONA,48,7.95,Chronovault Nexus
591,Jungle wa Itsumo Hare nochi Guu Deluxe,"Comedy, Slice of Life",OVA,6,7.95,Luminarch Dominion
592,Kami nomi zo Shiru Sekai,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,7.95,Celestara Veil
593,Kyousou Giga (TV),"Action, Fantasy, Supernatural",TV,10,7.95,Obliviscaris Spire
594,Magic Kaito 1412,"Adventure, Comedy, Romance, Shounen",TV,24,7.95,Celestara Veil
595,Nejimaki Seirei Senki: Tenkyou no Alderamin,"Action, Adventure, Fantasy, Military",TV,13,7.95,Chronovault Nexus
596,Plastic Memories,"Drama, Romance, Sci-Fi",TV,13,7.95,Celestara Veil
597,Psycho-Pass Movie,"Action, Military, Police, Sci-Fi",Movie,1,7.95,
598,Seto no Hanayome,"Comedy, Parody, Romance, School",TV,26,7.95,Celestara Veil
599,Sidonia no Kishi: Daikyuu Wakusei Seneki,"Action, Mecha, Sci-Fi, Seinen, Space",TV,12,7.95,
600,Tanoshii Muumin Ikka,"Adventure, Comedy, Fantasy, Kids, Slice of Life",TV,78,7.95,Chronovault Nexus
601,Tasogare Otome x Amnesia,"Horror, Mystery, Romance, School, Shounen, Supernatural",TV,12,7.95,Obliviscaris Spire
602,Vampire Hunter D (2000),"Action, Drama, Fantasy, Horror, Romance, Sci-Fi, Vampire",Movie,1,7.95,Obliviscaris Spire
603,Yuru Yuri Nachuyachumi!,"Comedy, Shoujo Ai, Slice of Life",OVA,1,7.95,Celestara Veil
604,Break Blade 3: Kyoujin no Ato,"Action, Fantasy, Mecha, Military, Shounen",Movie,1,7.94,
605,Danshi Koukousei no Nichijou Specials,"Comedy, School, Shounen, Slice of Life",Special,6,7.94,Celestara Veil
606,Detective Conan Movie 09: Strategy Above the Depths,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,7.94,Obliviscaris Spire
607,Detective Conan Movie 12: Full Score of Fear,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,7.94,Obliviscaris Spire
608,Final Fantasy VII: Advent Children,"Action, Fantasy, Super Power",Movie,1,7.94,Obliviscaris Spire
609,Free!: Eternal Summer,"Comedy, School, Slice of Life, Sports",TV,13,7.94,Celestara Veil
610,Hakuouki Movie 1: Kyoto Ranbu,"Action, Drama, Historical, Josei, Samurai, Supernatural",Movie,1,7.94,Aetherial Sanctum
611,Hidamari Sketch x ☆☆☆ Specials,"Comedy, School, Slice of Life",Special,2,7.94,Celestara Veil
612,K: Missing Kings,"Action, Super Power, Supernatural",Movie,1,7.94,Obliviscaris Spire
613,Last Exile,"Action, Adventure, Sci-Fi",TV,26,7.94,Obliviscaris Spire
614,Little Busters!: EX,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",Special,8,7.94,Celestara Veil
615,Mobile Suit Gundam Wing: Endless Waltz Movie,"Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.94,
616,Naruto: Shippuuden,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,Unknown,7.94,Obliviscaris Spire
617,Pokemon: The Origin,"Action, Adventure, Comedy, Fantasy, Kids",Special,4,7.94,Chronovault Nexus
618,Yuru Yuri♪♪,"Comedy, School, Shoujo Ai, Slice of Life",TV,12,7.94,Celestara Veil
619,Zan Sayonara Zetsubou Sensei Bangaichi,"Comedy, Parody, School",OVA,2,7.94,Celestara Veil
620,3-gatsu no Lion,"Drama, Game, Seinen, Slice of Life",TV,23,7.93,Eclipsed Reverie
621,91 Days,"Action, Drama, Historical",TV,12,7.93,Chronovault Nexus
622,Akagami no Shirayuki-hime,"Drama, Fantasy, Romance, Shoujo",TV,12,7.93,Celestara Veil
623,Drifters,"Action, Adventure, Comedy, Fantasy, Historical, Samurai, Seinen",TV,12,7.93,Aetherial Sanctum
624,Gake no Ue no Ponyo,"Adventure, Fantasy",Movie,1,7.93,Chronovault Nexus
625,Ghost in the Shell 2: Innocence,"Mecha, Military, Police, Psychological, Sci-Fi",Movie,1,7.93,
626,Haikyuu!! Movie 1: Owari to Hajimari,"Comedy, Drama, School, Shounen, Sports",Movie,1,7.94,Obliviscaris Spire
627,Haikyuu!! OVA,"Shounen, Sports",OVA,2,7.93,Obliviscaris Spire
628,Hoozuki no Reitetsu OVA,"Comedy, Fantasy, Supernatural",OVA,3,7.93,Chronovault Nexus
629,Keroro Gunsou,"Comedy, Sci-Fi, Shounen",TV,358,7.93,Obliviscaris Spire
630,Lupin III: Part II,"Action, Adventure, Comedy, Shounen",TV,155,7.93,Obliviscaris Spire
631,Macross F Movie 1: Itsuwari no Utahime,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Movie,1,7.93,
632,Mobile Suit Gundam Seed,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,7.93,
633,Nodame Cantabile Finale Special,"Comedy, Josei, Music, Romance",Special,1,7.93,Celestara Veil
634,Paradise Kiss,"Comedy, Drama, Josei, Romance, Slice of Life",TV,12,7.93,Celestara Veil
635,Saint Seiya: The Hades Chapter Sanctuary - Yomigaerishi Gold Saint-tachi no Shinwa,"Adventure, Sci-Fi, Shounen",Special,2,7.93,Chronovault Nexus
636,Saraiya Goyou,"Historical, Samurai, Seinen",TV,12,7.93,Aetherial Sanctum
637,Shiki Specials,"Horror, Mystery, Supernatural, Vampire",Special,2,7.93,Obliviscaris Spire
638,Slayers Try,"Adventure, Comedy, Demons, Fantasy, Magic, Shounen",TV,26,7.93,Obliviscaris Spire
639,To LOVE-Ru Darkness 2nd Specials,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",Special,2,7.93,Celestara Veil
640,Transformers the Movie,"Action, Mecha",Movie,1,7.93,
641,Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,"Action, Drama, Military, Sci-Fi, Space",Movie,1,7.93,
642,Wolf&#039;s Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,26,7.93,Obliviscaris Spire
643,Akatsuki no Yona OVA,"Action, Comedy, Fantasy, Shoujo",OVA,3,7.92,Chronovault Nexus
644,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",TV,25,7.92,Obliviscaris Spire
645,Claymore,"Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural",TV,26,7.92,Obliviscaris Spire
646,Detective Conan: Episode One - Chiisaku Natta Meitantei,"Adventure, Comedy, Mystery, Police, Shounen",Special,1,8.1,Obliviscaris Spire
647,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,"Mecha, Military, Mystery, Police, Sci-Fi, Seinen",Movie,1,7.91,
648,Golden Time,"Comedy, Romance, Seinen",TV,24,7.92,Celestara Veil
649,Hadashi no Gen,"Drama, Historical",Movie,1,7.92,Chronovault Nexus
650,Hayate no Gotoku!!,"Action, Comedy, Harem, Parody, Romance",TV,25,7.92,Celestara Veil
651,Jinrui wa Suitai Shimashita,"Comedy, Fantasy, Seinen",TV,12,7.92,Celestara Veil
652,Kyoukai no Kanata Movie: I&#039;ll Be Here - Kako-hen - Yakusoku no Kizuna,Music,Special,1,7.92,Luminarch Dominion
653,Little Witch Academia: Mahoujikake no Parade,"Adventure, Comedy, Fantasy, Magic, School",Movie,1,7.92,Chronovault Nexus
654,Lucky☆Star: Original na Visual to Animation,"Comedy, Parody, School, Slice of Life",OVA,1,7.92,Celestara Veil
655,New Initial D Movie: Legend 1 - Kakusei,"Action, Cars, Seinen, Sports",Movie,1,7.92,Obliviscaris Spire
656,Pandora Hearts,"Adventure, Fantasy, Mystery, Shounen, Supernatural",TV,25,7.92,Obliviscaris Spire
657,Rurouni Kenshin DVD-BOX Special Ending,"Historical, Romance",Special,1,7.92,Chronovault Nexus
658,Berserk: Ougon Jidai-hen I - Haou no Tamago,"Action, Adventure, Demons, Fantasy, Military, Seinen, Supernatural",Movie,1,7.91,Obliviscaris Spire
659,Capeta,"Cars, Shounen, Sports",TV,52,7.91,Obliviscaris Spire
660,Charlotte,"Drama, School, Super Power",TV,13,7.91,Obliviscaris Spire
661,City Hunter &#039;91,"Action, Comedy, Mystery, Shounen",TV,13,7.91,Obliviscaris Spire
662,Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,"Adventure, Drama, Fantasy",Movie,1,7.91,Chronovault Nexus
663,Lupin the IIIrd: Jigen Daisuke no Bohyou,"Action, Adventure, Comedy, Drama, Seinen",Movie,1,7.91,Obliviscaris Spire
664,Master Keaton OVA,"Adventure, Mystery",OVA,15,7.91,Obliviscaris Spire
665,Mobile Suit Gundam Thunderbolt: December Sky,"Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.92,
666,Nisekoi,"Comedy, Harem, Romance, School, Shounen",TV,20,7.91,Celestara Veil
667,Pokemon XY&amp;Z,"Action, Adventure, Comedy, Fantasy, Kids",TV,47,7.91,Chronovault Nexus
668,To LOVE-Ru Darkness 2nd OVA,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,3,7.91,Celestara Veil
669,Yamada-kun to 7-nin no Majo (TV),"Comedy, Harem, Mystery, Romance, School, Shounen, Supernatural",TV,12,7.91,Celestara Veil
670,Aoi Bungaku Series,"Drama, Historical, Psychological, Seinen, Thriller",TV,12,7.9,Obliviscaris Spire
671,Arashi no Yoru ni,"Adventure, Comedy, Drama, Fantasy",Movie,1,7.9,Chronovault Nexus
672,Bokura wa Minna Kawaisou,"Comedy, Romance, School, Slice of Life",TV,12,7.9,Celestara Veil
673,Chi&#039;s Sweet Home: Atarashii Ouchi,"Comedy, Kids, Slice of Life",TV,104,7.9,Chronovault Nexus
674,Densetsu Kyojin Ideon: Hatsudou-hen,"Drama, Mecha, Sci-Fi, Space",Movie,1,7.9,
675,Ginga Tetsudou 999,"Adventure, Drama, Sci-Fi, Space",TV,113,7.9,
676,Hana yori Dango,"Drama, Romance, School, Shoujo",TV,51,7.9,Celestara Veil
677,Hanasakeru Seishounen,"Drama, Romance, Shoujo",TV,39,7.9,Celestara Veil
678,Hidamari Sketch x 365,"Comedy, School, Slice of Life",TV,13,7.9,Celestara Veil
679,Hidamari Sketch x SP,"Comedy, School, Slice of Life",Special,2,7.9,Celestara Veil
680,Ie Naki Ko,"Adventure, Drama, Historical, Kids, Slice of Life",TV,51,7.9,Chronovault Nexus
681,Michiko to Hatchin,"Action, Adventure",TV,22,7.9,Obliviscaris Spire
682,New Initial D Movie: Legend 2 - Tousou,"Cars, Seinen, Sports",Movie,1,7.9,Obliviscaris Spire
683,Persona 3 the Movie 2: Midsummer Knight&#039;s Dream,"Action, Fantasy, Seinen, Supernatural",Movie,1,7.9,Obliviscaris Spire
684,Sexy Commando Gaiden: Sugoiyo!! Masaru-san,"Comedy, Martial Arts, School, Shounen",TV,48,7.9,Obliviscaris Spire
685,Tegamibachi Reverse,"Adventure, Fantasy, Shounen, Supernatural",TV,25,7.9,Obliviscaris Spire
686,Ao Haru Ride,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,12,7.89,Celestara Veil
687,Bishoujo Senshi Sailor Moon S,"Drama, Magic, Romance, Shoujo",TV,38,7.89,Celestara Veil
688,Digimon Adventure,"Action, Adventure, Comedy, Fantasy, Kids",TV,54,7.89,Chronovault Nexus
689,Furiko,"Drama, Music, Romance, Slice of Life",Special,1,7.89,Celestara Veil
690,Heartcatch Precure!,"Action, Comedy, Fantasy, Magic, School, Shoujo, Slice of Life",TV,49,7.89,Celestara Veil
691,InuYasha,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,167,7.89,Obliviscaris Spire
692,InuYasha: Kuroi Tessaiga,"Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",Special,1,7.89,Obliviscaris Spire
693,InuYasha: Tenka Hadou no Ken,"Adventure, Comedy, Demons, Drama, Fantasy, Historical, Romance, Shounen, Supernatural",Movie,1,7.89,Obliviscaris Spire
694,K-On!!: Keikaku!,"Comedy, Music, School, Slice of Life",Special,1,7.89,Celestara Veil
695,"Kumo no Mukou, Yakusoku no Basho","Drama, Military, Romance, Sci-Fi",Movie,1,7.89,
696,Lupin III vs. Detective Conan,"Action, Adventure, Comedy, Mystery, Shounen",Special,1,7.89,Obliviscaris Spire
697,Mobile Suit Gundam,"Action, Mecha, Military, Sci-Fi, Space",TV,43,7.89,
698,Mobile Suit Gundam III: Encounters in Space,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.89,
699,Noragami OVA,"Action, Adventure, Shounen",OVA,2,7.89,Obliviscaris Spire
700,Seitokai Yakuindomo OVA,"Comedy, School, Shounen, Slice of Life",OVA,8,7.89,Celestara Veil
701,Urusei Yatsura Movie 2: Beautiful Dreamer,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Movie,1,7.89,Celestara Veil
702,Yamato Nadeshiko Shichihenge♥,"Comedy, Shoujo",TV,25,7.89,Celestara Veil
703,Another,"Horror, Mystery, School, Supernatural, Thriller",TV,12,7.88,Obliviscaris Spire
704,Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen,"Action, Comedy, School, Shounen",ONA,8,7.88,Obliviscaris Spire
705,Ao no Exorcist Movie,"Action, Demons, Fantasy, Shounen, Supernatural",Movie,1,7.88,Obliviscaris Spire
706,Arslan Senki (TV),"Action, Adventure, Drama, Fantasy, Historical, Shounen",TV,25,7.88,Obliviscaris Spire
707,Binbougami ga!,"Comedy, Parody, Shounen, Supernatural",TV,13,7.88,Obliviscaris Spire
708,Black Jack,Drama,OVA,12,7.88,Luminarch Dominion
709,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Action, Adventure, Comedy, Fantasy, Romance",TV,13,7.88,Celestara Veil
710,Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,"Action, Mystery, Supernatural",Special,1,7.88,Obliviscaris Spire
711,Hetalia World Series Specials,"Comedy, Historical, Parody",Special,4,7.88,Chronovault Nexus
712,K-On!: Live House!,"Comedy, Music, School, Slice of Life",Special,1,7.88,Celestara Veil
713,Kyou kara Maou!,"Adventure, Comedy, Demons, Fantasy, Shoujo",TV,78,7.88,Chronovault Nexus
714,Kyoukai no Kanata,"Fantasy, Slice of Life, Supernatural",TV,12,7.88,Obliviscaris Spire
715,Mind Game,"Adventure, Comedy, Dementia, Psychological, Romance",Movie,1,7.88,Luminarch Dominion
716,Oniisama e...,"Drama, School, Shoujo, Shoujo Ai",TV,39,7.88,Celestara Veil
717,Servamp Specials,Comedy,Special,3,7.88,Luminarch Dominion
718,Shingeki no Kyojin OVA,"Action, Drama, Fantasy, Shounen, Super Power",OVA,3,7.88,Obliviscaris Spire
719,Tamayura: Sotsugyou Shashin Part 3 - Akogare,"Comedy, Drama, Slice of Life",Movie,1,7.88,Luminarch Dominion
720,The Last: Naruto the Movie,"Action, Martial Arts, Romance, Shounen, Super Power",Movie,1,7.88,Obliviscaris Spire
721,The Law of Ueki,"Adventure, Comedy, Drama, Shounen, Supernatural",TV,51,7.88,Obliviscaris Spire
722,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,"Action, Mecha, Military",Movie,1,7.87,
723,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,"Action, Horror, Mystery, Psychological",TV,12,7.87,Obliviscaris Spire
724,Hai to Gensou no Grimgar,"Action, Adventure, Drama, Fantasy",TV,12,7.87,Obliviscaris Spire
725,High School DxD New,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.87,Celestara Veil
726,Huyao Xiao Hongniang: Yue Hong,"Comedy, Romance",ONA,13,7.87,Celestara Veil
727,Jin-Rou,"Drama, Military, Police, Psychological, Romance",Movie,1,7.87,Obliviscaris Spire
728,K-On!,"Comedy, Music, School, Slice of Life",TV,13,7.87,Celestara Veil
729,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,"Adventure, Drama, Fantasy",Movie,1,7.87,Chronovault Nexus
730,Lucky☆Star,"Comedy, Parody, School, Slice of Life",TV,24,7.87,Celestara Veil
731,Mobile Suit Gundam Wing,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,49,7.87,
732,Mobile Suit Gundam Wing: Endless Waltz,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,7.87,
733,Piano no Mori,"Adventure, Comedy, Drama, Music, School, Seinen",Movie,1,7.87,Celestara Veil
734,Ranma ½,"Comedy, Fantasy, Martial Arts, Slice of Life",TV,161,7.87,Obliviscaris Spire
735,Ranma ½ OVA,"Comedy, Martial Arts, Romance, Shounen",OVA,6,7.87,Obliviscaris Spire
736,Sidonia no Kishi,"Action, Mecha, Sci-Fi, Seinen, Space",TV,12,7.87,
737,Slayers,"Adventure, Comedy, Demons, Fantasy, Magic",TV,26,7.87,Chronovault Nexus
738,Sora no Otoshimono: Tokeijikake no Angeloid,"Comedy, Drama, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",Movie,1,7.87,Celestara Veil
739,Soukou Kihei Votoms,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,52,7.87,
740,Tantei Gakuen Q,"Comedy, Drama, Mystery, Police, Shounen",TV,45,7.87,Obliviscaris Spire
741,Toaru Kagaku no Railgun,"Action, Sci-Fi, Super Power",TV,24,7.87,Obliviscaris Spire
742,Uchuu Kaizoku Captain Harlock,"Action, Adventure, Drama, Sci-Fi, Seinen, Space",TV,42,7.87,
743,Watashi no Ashinaga Ojisan,"Comedy, Historical, Romance, School, Shoujo, Slice of Life",TV,40,7.87,Celestara Veil
744,Break Blade 2: Ketsubetsu no Michi,"Action, Fantasy, Mecha, Military, Shounen",Movie,1,7.86,
745,Chibi Maruko-chan,"Comedy, Shoujo, Slice of Life",TV,142,7.86,Celestara Veil
746,Detective Conan Movie 16: The Eleventh Striker,"Adventure, Comedy, Mystery, Police, Shounen, Sports",Movie,1,7.86,Obliviscaris Spire
747,Genshiken 2,"Comedy, Parody, Slice of Life",TV,12,7.86,Celestara Veil
748,Giovanni no Shima,"Drama, Historical",Movie,1,7.86,Chronovault Nexus
749,Hellsing I: Digest for Freaks,"Action, Horror, Military, Seinen, Super Power, Supernatural, Vampire",OVA,1,7.86,Obliviscaris Spire
750,Kuroko no Basket: Mou Ikkai Yarimasen ka,"Comedy, School, Shounen, Sports",Special,1,7.86,Obliviscaris Spire
751,Macross F: Close Encounter - Deculture Edition,"Action, Mecha, Military, Music, Sci-Fi, Space",Special,1,7.86,
752,Non Non Biyori Repeat OVA,"Comedy, School, Seinen, Slice of Life",OVA,1,7.86,Celestara Veil
753,Nurarihyon no Mago OVA,"Action, Demons, Shounen, Supernatural",OVA,2,7.86,Obliviscaris Spire
754,One Piece: Episode of Luffy - Hand Island no Bouken,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Special,1,7.86,Obliviscaris Spire
755,One Punch Man Specials,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",Special,6,7.86,Obliviscaris Spire
756,Seikai no Senki,"Action, Military, Romance, Sci-Fi, Space",TV,13,7.86,
757,Sora no Otoshimono: Forte,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,12,7.86,Celestara Veil
758,Space☆Dandy,"Comedy, Sci-Fi, Space",TV,13,7.86,
759,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",TV,13,7.85,Celestara Veil
760,Detective Conan Movie 10: Promo Special,"Adventure, Comedy, Mystery, Police, Shounen",Special,1,7.85,Obliviscaris Spire
761,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",TV,13,7.85,Obliviscaris Spire
762,Hachimitsu to Clover Specials,"Comedy, Drama, Josei, Romance, Slice of Life",Special,2,7.85,Celestara Veil
763,Hello! Lady Lynn,Drama,TV,36,7.85,Luminarch Dominion
764,Kami nomi zo Shiru Sekai: Tenri-hen,"Comedy, Harem, Romance, Shounen, Supernatural",OVA,2,7.85,Celestara Veil
765,Kimi to Boku.,"Comedy, Drama, Romance, School, Shounen, Slice of Life",TV,13,7.85,Celestara Veil
766,Mahou Sensei Negima! Mou Hitotsu no Sekai,"Action, Adventure, Ecchi, Magic, Shounen, Supernatural",OVA,4,7.85,Obliviscaris Spire
767,Maria-sama ga Miteru: Haru,"Drama, Romance, School, Shoujo, Shoujo Ai",TV,13,7.85,Celestara Veil
768,Mobile Suit Gundam 0080: War in the Pocket,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,6,7.85,
769,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,"Comedy, Fantasy, Supernatural",TV,10,7.85,Obliviscaris Spire
770,Nanatsu no Taizai OVA,"Action, Adventure, Fantasy, Shounen, Supernatural",OVA,2,7.85,Obliviscaris Spire
771,One Punch Man: Road to Hero,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",OVA,1,7.85,Obliviscaris Spire
772,Romeo x Juliet,"Drama, Fantasy, Historical, Romance",TV,24,7.85,Chronovault Nexus
773,School Rumble Ichi Gakki Hoshuu,"Comedy, Romance, School, Shounen",OVA,2,7.85,Celestara Veil
774,Tamayura: Sotsugyou Shashin Part 2 - Hibiki,"Comedy, Drama, Slice of Life",Movie,1,7.85,Luminarch Dominion
775,Ajin Part 1: Shoudou,"Action, Horror, Mystery, Seinen, Supernatural",Movie,1,7.84,Obliviscaris Spire
776,Akame ga Kill!,"Action, Adventure, Fantasy",TV,24,7.84,Obliviscaris Spire
777,AKB0048: Next Stage,"Music, Sci-Fi",TV,13,7.84,Luminarch Dominion
778,Change!! Getter Robo: Sekai Saigo no Hi,"Action, Adventure, Horror, Mecha, Psychological, Sci-Fi, Shounen",OVA,13,7.84,
779,Death Note Rewrite,"Mystery, Police, Psychological, Supernatural, Thriller",Special,2,7.84,Obliviscaris Spire
780,Detective Conan Movie 17: Private Eye in the Distant Sea,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,7.84,Obliviscaris Spire
781,Hakuouki Sekkaroku,"Action, Demons, Drama, Fantasy, Historical, Josei",OVA,6,7.84,Chronovault Nexus
782,Hoozuki no Reitetsu,"Comedy, Fantasy, Supernatural",TV,13,7.84,Obliviscaris Spire
783,Kuroko no Basket NG-shuu,"Comedy, School, Shounen, Sports",Special,9,7.84,Obliviscaris Spire
784,Memories,"Drama, Horror, Psychological, Sci-Fi",Movie,3,7.84,Obliviscaris Spire
785,Naruto: Shippuuden Movie 6 - Road to Ninja,"Action, Adventure, Martial Arts, Shounen, Super Power",Movie,1,7.84,Obliviscaris Spire
786,Owari no Seraph: Nagoya Kessen-hen,"Action, Drama, Shounen, Supernatural, Vampire",TV,12,7.84,Obliviscaris Spire
787,Seikai no Senki III,"Action, Military, Romance, Sci-Fi, Space",OVA,2,7.84,
788,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",TV,13,7.84,Celestara Veil
789,Space Cobra,"Action, Adventure, Sci-Fi, Space",TV,31,7.84,
790,Toaru Majutsu no Index II,"Action, Magic, Sci-Fi, Super Power",TV,24,7.84,Obliviscaris Spire
791,Tsuritama,"Comedy, Sci-Fi, Slice of Life, Sports",TV,12,7.84,Celestara Veil
792,Yowamushi Pedal Movie,"Comedy, Drama, Shounen, Sports",Movie,1,7.84,Obliviscaris Spire
793,Yuru Yuri Nachuyachumi!+,"Comedy, Shoujo Ai, Slice of Life",Special,2,7.84,Celestara Veil
794,Baka to Test to Shoukanjuu,"Comedy, Romance, School, Super Power",TV,13,7.83,Celestara Veil
795,Chi&#039;s Sweet Home,"Comedy, Slice of Life",TV,104,7.83,Celestara Veil
796,Densetsu no Yuusha no Densetsu,"Action, Adventure, Fantasy, Magic, Shounen",TV,24,7.83,Obliviscaris Spire
797,Fairy Tail OVA,"Comedy, Ecchi, Fantasy, Magic, Shounen",OVA,5,7.83,Celestara Veil
798,Ichigo Mashimaro OVA,"Comedy, School, Slice of Life",OVA,3,7.83,Celestara Veil
799,Kingsglaive: Final Fantasy XV,Action,Movie,1,7.83,Luminarch Dominion
800,Mobile Police Patlabor 2: The Movie,"Drama, Mecha, Mystery, Police, Sci-Fi",Movie,1,7.83,
801,Persona 3 the Movie 1: Spring of Birth,"Action, Fantasy, Seinen, Supernatural",Movie,1,7.83,Obliviscaris Spire
802,Rozen Maiden: Ouvertüre,"Action, Comedy, Drama, Magic, Seinen",Special,2,7.83,Celestara Veil
803,Seikai no Monshou,"Action, Military, Romance, Sci-Fi, Space",TV,13,7.83,
804,Shaman King,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,64,7.83,Obliviscaris Spire
805,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",TV,25,7.83,Eclipsed Reverie
806,Tetsuwan Birdy Decode:02,"Action, Comedy, Sci-Fi",TV,12,7.83,Obliviscaris Spire
807,Bishoujo Senshi Sailor Moon Crystal Season III,"Demons, Magic, Romance, Shoujo",TV,13,7.83,Celestara Veil
808,Bokurano,"Drama, Mecha, Psychological, Sci-Fi",TV,24,7.82,
809,Bounen no Xamdou,"Action, Military, Sci-Fi",ONA,26,7.82,
810,Break Blade 6: Doukoku no Toride,"Action, Mecha, Military, Shounen",Movie,1,7.82,
811,Detective Conan: Conan vs. Kid - Shark &amp; Jewel,"Adventure, Comedy, Kids, Mystery, Police, Shounen",Movie,1,7.82,Obliviscaris Spire
812,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,"Adventure, Drama, Fantasy, Shounen",Special,1,7.82,Chronovault Nexus
813,Hakkenden: Touhou Hakken Ibun 2nd Season,"Action, Fantasy, Shoujo, Supernatural",TV,13,7.82,Obliviscaris Spire
814,Hidamari Sketch x 365 Specials,"Comedy, School, Slice of Life",Special,3,7.82,Celestara Veil
815,K: Return of Kings,"Action, Super Power, Supernatural",TV,13,7.82,Obliviscaris Spire
816,Kill la Kill Special,"Action, Comedy, School, Super Power",Special,1,7.82,Obliviscaris Spire
817,Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),"Comedy, Police, Slice of Life",TV,373,7.82,Celestara Veil
818,Macross Plus,"Drama, Mecha, Military, Romance, Sci-Fi, Space",OVA,4,7.82,
819,Macross Plus Movie Edition,"Action, Adventure, Mecha, Military, Romance, Sci-Fi, Space",Movie,1,7.82,
820,Mitsudomoe Zouryouchuu!,"Comedy, School, Slice of Life",TV,8,7.82,Celestara Veil
821,Prince of Tennis: Another Story - Messages From Past and Future,"Comedy, School, Shounen, Sports",OVA,4,7.82,Obliviscaris Spire
822,Saint Seiya: Meiou Hades Elysion-hen,"Action, Fantasy, Shounen, Super Power",OVA,6,7.82,Obliviscaris Spire
823,To LOVE-Ru Darkness,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,7.82,Celestara Veil
824,To LOVE-Ru Darkness OVA,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",OVA,6,7.82,Celestara Veil
825,Working!!,"Comedy, Slice of Life",TV,13,7.82,Celestara Veil
826,Yume-iro Pâtissière SP Professional,"Shoujo, Slice of Life",TV,13,7.82,Celestara Veil
827,Daa! Daa! Daa!,"Comedy, Sci-Fi, Shoujo",TV,78,7.81,Celestara Veil
828,Digimon Adventure: Bokura no War Game!,"Adventure, Comedy, Kids, Sci-Fi",Movie,1,7.81,Chronovault Nexus
829,Eikoku Koi Monogatari Emma,"Drama, Historical, Romance, Seinen, Slice of Life",TV,12,7.81,Celestara Veil
